id,title,rating,release_year,,,,trailer_url,,,,,poster_url,,,,,,,genres,overview
122,The Lord of the Rings: The Return of the King,8.474,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,,,,,,,Adventure| Fantasy| Action,"The Lord of the Rings: The Return of the King is a Adventure,  Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
11324,Shutter Island,8.2,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,,,,,,,Drama| Thriller| Mystery,"Shutter Island is a Drama,  Thriller,  Mystery film. The story follows characters facing challenges and events that shape their journey."
106646,The Wolf of Wall Street,8.035,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,,,,,,,Crime| Drama| Comedy,"The Wolf of Wall Street is a Crime,  Drama,  Comedy film. The story follows characters facing challenges and events that shape their journey."
99861,Avengers: Age of Ultron,7.276,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,,,,,,,Action| Adventure| Science Fiction,"Avengers: Age of Ultron is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
271110,Captain America: Civil War,7.4,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,,,,,,,Adventure| Action| Science Fiction,"Captain America: Civil War is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
49026,The Dark Knight Rises,7.777,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,,,,,,,Action| Crime| Drama| Thriller,"The Dark Knight Rises is a Action,  Crime,  Drama,  Thriller film. The story follows characters facing challenges and events that shape their journey."
68721,Iron Man 3,6.928,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,,,,,,,Action| Adventure| Science Fiction,"Iron Man 3 is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
284054,Black Panther,7.39,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,,,,,,,Action| Adventure| Science Fiction,"Black Panther is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
284052,Doctor Strange,7.427,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,,,,,,,Action| Adventure| Fantasy,"Doctor Strange is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
76341,Mad Max: Fury Road,7.582,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,,,,,,,Action| Adventure| Science Fiction,"Mad Max: Fury Road is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
16869,Inglourious Basterds,8.215,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,,,,,,,Drama| Thriller| War,"Inglourious Basterds is a Drama,  Thriller,  War film. The story follows characters facing challenges and events that shape their journey."
70160,The Hunger Games,7.193,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,,,,,,,Science Fiction| Adventure| Fantasy,"The Hunger Games is a Science Fiction,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
315635,Spider-Man: Homecoming,7.345,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,,,,,,,Action| Adventure| Science Fiction| Drama,"Spider-Man: Homecoming is a Action,  Adventure,  Science Fiction,  Drama film. The story follows characters facing challenges and events that shape their journey."
672,Harry Potter and the Chamber of Secrets,7.721,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Chamber of Secrets is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
